csúcsid;alcsúcsid;MEGNEVEZES;alcsúcsid_megnevezes;MERTEKEGYSEG;kapcsolat
m627;2;Van/volt-e asztma betegsége?;Nincs válasz;NULL;
m628;0;Szed-e gyógyszert asztma betegségre?;Nem;NULL;
m628;1;Szed-e gyógyszert asztma betegségre?;Igen;NULL;
m628;2;Szed-e gyógyszert asztma betegségre?;Nincs válasz;NULL;
m629;0;Van/volt-e allergiás betegsége?;Nem;NULL;
m629;1;Van/volt-e allergiás betegsége?;Igen;NULL;
m629;2;Van/volt-e allergiás betegsége?;Nincs válasz;NULL;
m630;0;Szed-e gyógyszert allergiás betegségre?;Nem;NULL;
m630;1;Szed-e gyógyszert allergiás betegségre?;Igen;NULL;
m630;2;Szed-e gyógyszert allergiás betegségre?;Nincs válasz;NULL;
m631;0;Szed-e gyógyszert 1-es típusú cukorbetegségre?;Nem;NULL;
m631;1;Szed-e gyógyszert 1-es típusú cukorbetegségre?;Igen;NULL;
m631;2;Szed-e gyógyszert 1-es típusú cukorbetegségre?;Nincs válasz;NULL;
m632;0;Szed-e gyógyszert 2-es típusú cukorbetegségre?;Nem;NULL;
m632;1;Szed-e gyógyszert 2-es típusú cukorbetegségre?;Igen;NULL;
m632;2;Szed-e gyógyszert 2-es típusú cukorbetegségre?;Nincs válasz;NULL;
m633;0;Szed-e gyógyszert magas koleszterin szintjére?;Nem;NULL;
m633;1;Szed-e gyógyszert magas koleszterin szintjére?;Igen;NULL;
m633;2;Szed-e gyógyszert magas koleszterin szintjére?;Nincs válasz;NULL;
m634;0;Szed-e gyógyszert magasvérnyomás betegségére?;Nem;NULL;
m634;1;Szed-e gyógyszert magasvérnyomás betegségére?;Igen;NULL;
m634;2;Szed-e gyógyszert magasvérnyomás betegségére?;Nincs válasz;NULL;
m635;0;Szed-e gyógyszert szívbetegségére?;Nem;NULL;
m635;1;Szed-e gyógyszert szívbetegségére?;Igen;NULL;
m635;2;Szed-e gyógyszert szívbetegségére?;Nincs válasz;NULL;
m636;0;Van/volt-e ízületi betegsége?;Nem;NULL;
m636;1;Van/volt-e ízületi betegsége?;Igen;NULL;
m636;2;Van/volt-e ízületi betegsége?;Nincs válasz;NULL;
m637;0;Szed-e gyógyszert ízületi betegségre?;Nem;NULL;
m637;1;Szed-e gyógyszert ízületi betegségre?;Igen;NULL;
m637;2;Szed-e gyógyszert ízületi betegségre?;Nincs válasz;NULL;
m638;0;Van/volt-e nyelõcsõ-, gyomor-, bélbetegsége?;Nem;NULL;
m638;1;Van/volt-e nyelõcsõ-, gyomor-, bélbetegsége?;Igen;NULL;
m638;2;Van/volt-e nyelõcsõ-, gyomor-, bélbetegsége?;Nincs válasz;NULL;
m639;0;Szed-e gyógyszert nyelõcsõ-, gyomor-, bélbetegségre?;Nem;NULL;
m639;1;Szed-e gyógyszert nyelõcsõ-, gyomor-, bélbetegségre?;Igen;NULL;
m639;2;Szed-e gyógyszert nyelõcsõ-, gyomor-, bélbetegségre?;Nincs válasz;NULL;
m640;0;Van/volt-e májbetegsége?;Nem;NULL;
m640;1;Van/volt-e májbetegsége?;Igen;NULL;
m640;2;Van/volt-e májbetegsége?;Nincs válasz;NULL;
m641;0;Szed-e gyógyszert májbetegségre?;Nem;NULL;
m641;1;Szed-e gyógyszert májbetegségre?;Igen;NULL;
m641;2;Szed-e gyógyszert májbetegségre?;Nincs válasz;NULL;
m642;0;Van/volt-e malignus betegsége?;Nem;NULL;
m642;1;Van/volt-e malignus betegsége?;Igen;NULL;
m642;2;Van/volt-e malignus betegsége?;Nincs válasz;NULL;
m643;0;Szed-e gyógyszert malibnus betegségre?;Nem;NULL;
m643;1;Szed-e gyógyszert malibnus betegségre?;Igen;NULL;
m643;2;Szed-e gyógyszert malibnus betegségre?;Nincs válasz;NULL;
m644;0;Van/volt-e pszichiátriai betegsége?;Nem;NULL;
m644;1;Van/volt-e pszichiátriai betegsége?;Igen;NULL;
m644;2;Van/volt-e pszichiátriai betegsége?;Nincs válasz;NULL;
m645;0;Szed-e gyógyszert pszichiátriai betegségre?;Nem;NULL;
m645;1;Szed-e gyógyszert pszichiátriai betegségre?;Igen;NULL;
m645;2;Szed-e gyógyszert pszichiátriai betegségre?;Nincs válasz;NULL;
m646;0;Van/volt-e neurológiai betegsége?;Nem;NULL;
m646;1;Van/volt-e neurológiai betegsége?;Igen;NULL;
m646;2;Van/volt-e neurológiai betegsége?;Nincs válasz;NULL;
m647;0;Szed-e gyógyszert neurológiai betegségre?;Nem;NULL;
m647;1;Szed-e gyógyszert neurológiai betegségre?;Igen;NULL;
m647;2;Szed-e gyógyszert neurológiai betegségre?;Nincs válasz;NULL;
m648;0;Van/volt-e érzékszervi betegsége?;Nem;NULL;
m648;1;Van/volt-e érzékszervi betegsége?;Igen;NULL;
m648;2;Van/volt-e érzékszervi betegsége?;Nincs válasz;NULL;
m649;0;Szed-e gyógyszert érzékszervi betegségre?;Nem;NULL;
m649;1;Szed-e gyógyszert érzékszervi betegségre?;Igen;NULL;
m649;2;Szed-e gyógyszert érzékszervi betegségre?;Nincs válasz;NULL;
m650;0;Van/volt-e egyéb krónikus betegsége?;Nem;NULL;
m650;1;Van/volt-e egyéb krónikus betegsége?;Igen;NULL;
m650;2;Van/volt-e egyéb krónikus betegsége?;Nincs válasz;NULL;
m659;0;Szed-e valamilyen egyéb gyógyszert krónikus betegségre?;Nem;NULL;
m659;1;Szed-e valamilyen egyéb gyógyszert krónikus betegségre?;Igen;NULL;
m659;2;Szed-e valamilyen egyéb gyógyszert krónikus betegségre?;Nincs válasz;NULL;
m659;3;Szedett-e (használt-e) az elmúlt két hét folyamán rendszeresen receptre kapható gyógyszert?;Nem;NULL;
m659;4;Szedett-e (használt-e) az elmúlt két hét folyamán rendszeresen receptre kapható gyógyszert?;Igen;NULL;
m660;0;Szedett-e (használt-e) az elmúlt két hét folyamán rendszeresen receptre kapható gyógyszert?;Nincs válasz;NULL;
m660;1;Szedett-e (használt-e) az elmúlt két hét folyamán vény nélkül kapható gyógyszert?;Nem;NULL;
m660;2;Szedett-e (használt-e) az elmúlt két hét folyamán vény nélkül kapható gyógyszert?;Igen;NULL;
m660;3;Szedett-e (használt-e) az elmúlt két hét folyamán vény nélkül kapható gyógyszert?;Nincs válasz;NULL;
m661;0;Szedett-e (használt-e) az elmúlt két hét folyamán gyógyhatású készítményt?;Nem;NULL;
m661;1;Szedett-e (használt-e) az elmúlt két hét folyamán gyógyhatású készítményt?;Igen;NULL;
m661;2;Szedett-e (használt-e) az elmúlt két hét folyamán gyógyhatású készítményt?;Nincs válasz;NULL;
m661;3;Az elmúlt 12 hónapban hozzávetõlegesen hányszor találkozott háziorvosával;NULL;NULL;
m662;0;Az elmúlt 12 hónapban hozzávetõlegesen hányszor találkozott fogorvossal;NULL;NULL;
m662;1;Az elmúlt 12 hónapban hozzávetõlegesen hányszor találkozott foglalkozás-egészségügyi orvossal;NULL;NULL;
m662;2;Az elmúlt 12 hónapban hozzávetõlegesen hányszor találkozott nõgyógyásszal;NULL;NULL;
m662;3;Az elmúlt 12 hónapban hozzávetõlegesen hányszor találkozott pszichiáterrel, pszichológussal;NULL;NULL;
m663;0;Az elmúlt 12 hónapban hozzávetõlegesen hányszor találkozott más szakorvossal;NULL;NULL;
m663;1;Az elmúlt 12 hónapban hozzávetõlegesen hányszor találkozott természetgyógyásszal;NULL;NULL;
m663;2;Az elmúlt 12 hónapban fekvõbetegként hány napot töltött kórházban?;NULL;NULL;
m663;3;Az elmúlt 12 hónap alatt hány napon keresztül nem tudta óráit látogatni, saját testi-lelki panasza v;Nincs válasz;NULL;
m664;0;Az elmúlt 12 hónap alatt hány napon keresztül nem tudta óráit látogatni, saját testi-lelki panasza v;0 nap;NULL;
m664;1;Az elmúlt 12 hónap alatt hány napon keresztül nem tudta óráit látogatni, saját testi-lelki panasza v;1-10 nap;NULL;
m664;2;Az elmúlt 12 hónap alatt hány napon keresztül nem tudta óráit látogatni, saját testi-lelki panasza v;11-30 nap;NULL;
m664;3;Az elmúlt 12 hónap alatt hány napon keresztül nem tudta óráit látogatni, saját testi-lelki panasza v;több, mint 30 nap;NULL;
m665;0;Az elmúlt 12 hónapban mennyit költött egészsége érdekében természetgyógyászati kezelésre?;Nincs válasz;NULL;
m665;1;Az elmúlt 12 hónapban mennyit költött egészsége érdekében természetgyógyászati kezelésre?;0-10000 Ft;NULL;
m665;2;Az elmúlt 12 hónapban mennyit költött egészsége érdekében természetgyógyászati kezelésre?;10001-50000Ft;NULL;
m665;3;Az elmúlt 12 hónapban mennyit költött egészsége érdekében természetgyógyászati kezelésre?;50000 Ft fölött;NULL;
m665;4;Az elmúlt 12 hónapban mennyit költött egészsége érdekében egészségmegõrzõ szolgáltatásokra?;Nincs válasz;NULL;
m665;5;Az elmúlt 12 hónapban mennyit költött egészsége érdekében egészségmegõrzõ szolgáltatásokra?;0-10000 Ft;NULL;
m666;0;Az elmúlt 12 hónapban mennyit költött egészsége érdekében egészségmegõrzõ szolgáltatásokra?;10001-50000Ft;NULL;
m666;1;Az elmúlt 12 hónapban mennyit költött egészsége érdekében egészségmegõrzõ szolgáltatásokra?;50000 Ft fölött;NULL;
m666;2;Az elmúlt 12 hónapban mennyit költött egészsége érdekében szemüvegre?;Nincs válasz;NULL;
m666;3;Az elmúlt 12 hónapban mennyit költött egészsége érdekében szemüvegre?;0-10000 Ft;NULL;
m666;4;Az elmúlt 12 hónapban mennyit költött egészsége érdekében szemüvegre?;10001-50000Ft;NULL;
m666;5;Az elmúlt 12 hónapban mennyit költött egészsége érdekében szemüvegre?;50000 Ft fölött;NULL;
m667;0;Az elmúlt 12 hónapban mennyit költött egészsége érdekében fogászati ellátásra?;Nincs válasz;NULL;
m667;1;Az elmúlt 12 hónapban mennyit költött egészsége érdekében fogászati ellátásra?;0-10000 Ft;NULL;
m667;2;Az elmúlt 12 hónapban mennyit költött egészsége érdekében fogászati ellátásra?;10001-50000Ft;NULL;
m667;3;Az elmúlt 12 hónapban mennyit költött egészsége érdekében fogászati ellátásra?;50000 Ft fölött;NULL;
m667;4;Az elmúlt 12 hónapban mennyit költött egészsége érdekében magánorvosnál?;Nincs válasz;NULL;
m667;5;Az elmúlt 12 hónapban mennyit költött egészsége érdekében magánorvosnál?;0-10000 Ft;NULL;
m668;0;Az elmúlt 12 hónapban mennyit költött egészsége érdekében magánorvosnál?;10001-50000Ft;NULL;
m668;1;Az elmúlt 12 hónapban mennyit költött egészsége érdekében magánorvosnál?;50000 Ft fölött;NULL;
m668;2;Mikor mérte / mérték meg a vérnyomását utoljára?;Nincs válasz;NULL;
m669;0;Mikor mérte / mérték meg a vérnyomását utoljára?;Egy hónapon belül;NULL;
m669;1;Mikor mérte / mérték meg a vérnyomását utoljára?;Fél éven belül;NULL;
m669;2;Mikor mérte / mérték meg a vérnyomását utoljára?;Egy éven belül;NULL;
m669;3;Mikor mérte / mérték meg a vérnyomását utoljára?;Több mint egy éve;NULL;
m669;4;Mikor mérte / mérték meg a vérnyomását utoljára?;Sohasem mérték;NULL;
m670;0;Mikor járt Ön utoljára koleszterin-mérésen?;Nincs válasz;NULL;
m670;1;Mikor járt Ön utoljára koleszterin-mérésen?;Egy hónapon belül;NULL;
m670;2;Mikor járt Ön utoljára koleszterin-mérésen?;Fél éven belül;NULL;
m671;0;Mikor járt Ön utoljára koleszterin-mérésen?;Egy éven belül;NULL;
m672;0;Mikor járt Ön utoljára koleszterin-mérésen?;Több mint egy éve;NULL;
m672;1;Mikor járt Ön utoljára koleszterin-mérésen?;Sohasem mérték;NULL;
m672;2;Mikor járt Ön utoljára vércukorszint mérésen?;Nincs válasz;NULL;
m672;3;Mikor járt Ön utoljára vércukorszint mérésen?;Egy hónapon belül;NULL;
m672;4;Mikor járt Ön utoljára vércukorszint mérésen?;Fél éven belül;NULL;
m673;0;Mikor járt Ön utoljára vércukorszint mérésen?;Egy éven belül;NULL;
m673;1;Mikor járt Ön utoljára vércukorszint mérésen?;Több mint egy éve;NULL;
m673;2;Mikor járt Ön utoljára vércukorszint mérésen?;Sohasem mérték;NULL;
m674;0;Régebben dohányzott?;Nincs válasz;NULL;
m674;1;Régebben dohányzott?;Már leszokott;NULL;
m674;2;Régebben dohányzott?;Soha nem dohányzott;NULL;
m674;3;Körülbelül hány cigarettát szív el naponta?;Nincs válasz;NULL;
m674;4;Körülbelül hány cigarettát szív el naponta?;1-5 szálat;NULL;
m679;0;Körülbelül hány cigarettát szív el naponta?;Körülbelül fél dobozzal;NULL;
m679;1;Körülbelül hány cigarettát szív el naponta?;Körülbelül 1 dobozzal;NULL;
m679;2;Körülbelül hány cigarettát szív el naponta?;Több mit egy dobozzal;NULL;
m679;3;Megpróbált már valaha is leszokni a dohányzásról?;Nem;NULL;
m679;4;Megpróbált már valaha is leszokni a dohányzásról?;Igen;NULL;
m679;5;Megpróbált már valaha is leszokni a dohányzásról?;Nincs válasz;NULL;
m680;0;Hány éves volt, amikor elkezdett rendszeresen dohányozni?;ismeretlen;NULL;
m680;1;Naponta átlagosan mennyi idõt tölt olyan helyiségben, ahol mások dohányoznak?;Nincs válasz;NULL;
m680;2;Naponta átlagosan mennyi idõt tölt olyan helyiségben, ahol mások dohányoznak?;egyetlen percet sem;NULL;
m680;3;Naponta átlagosan mennyi idõt tölt olyan helyiségben, ahol mások dohányoznak?;néhány percet;NULL;
m680;4;Naponta átlagosan mennyi idõt tölt olyan helyiségben, ahol mások dohányoznak?;kevesebb, mint egy órát;NULL;
m680;5;Naponta átlagosan mennyi idõt tölt olyan helyiségben, ahol mások dohányoznak?;több, mint egy órát;NULL;
m681;-1;Kipróbált valamikor illegális drogot?;Nem;NULL;m682,m688,m683,
m681;0;Kipróbált valamikor illegális drogot?;Igen;NULL;m682,m688,m683,
m682;-1;Kipróbált valamikor illegális drogot?;Nincs válasz;NULL;m683,
m682;0;Fogyaszt alkoholt?;Nincs válasz;NULL;m683,
m683;0;Fogyaszt alkoholt?;Nem;NULL;
m683;1;Fogyaszt alkoholt?;Alkalomszerûen;NULL;
m683;2;Fogyaszt alkoholt?;Hetente legalább egyszer;NULL;
m683;3;Fogyaszt alkoholt?;Naponta;NULL;
m683;4;Az elmúlt 7 napban hány olyan nap volt, amikor legalább 10 percig megszakítás nélkül intenzív testmo;NULL;NULL;
m684;0;Hetente hányszor szokott Ön reggelizni?;NULL;NULL;
m684;1;Hetente hányszor eszokott Ön Ebédelni?;NULL;NULL;
m684;2;Hetente hányszor szokott Ön vacsorázni?;NULL;NULL;
m685;0;Az elmúlt négy hét során milyen gyakran evett friss gyümölcsöt vagy nyers zöldséget?;Nincs válasz;NULL;
m685;1;Az elmúlt négy hét során milyen gyakran evett friss gyümölcsöt vagy nyers zöldséget?;Naponta;NULL;
m685;2;Az elmúlt négy hét során milyen gyakran evett friss gyümölcsöt vagy nyers zöldséget?;Néhány naponta;NULL;
m686;0;Az elmúlt négy hét során milyen gyakran evett friss gyümölcsöt vagy nyers zöldséget?;Hetente;NULL;
m686;1;Az elmúlt négy hét során milyen gyakran evett friss gyümölcsöt vagy nyers zöldséget?;Ritkábban, mint hetente;NULL;
m687;0;Az elmúlt négy hét során milyen gyakran evett friss gyümölcsöt vagy nyers zöldséget?;Egyáltalán nem fogyasztott;NULL;
m687;1;Mit használ leggyakrabban a fõzéshez?;Nincs válasz;NULL;
m687;2;Mit használ leggyakrabban a fõzéshez?;Olajat;NULL;
m687;3;Mit használ leggyakrabban a fõzéshez?;Zsírt;NULL;
m688;0;Mit használ leggyakrabban a fõzéshez?;Olajat és zsírt vegyesen;NULL;
m688;1;Mit használ leggyakrabban a fõzéshez?;Vajat vagy margarint;NULL;
m688;2;Mit használ leggyakrabban a fõzéshez?;Egyiket sem;NULL;
m688;3;Beck féle depressziós teszt pontszám;nem értelmezhetõ;NULL;
m688;4;Beck féle depressziós teszt pontszám;pontszám;NULL;
m689;0;Beck index;nem értékelhetõ;pont;
m690;-1000;Beck index;pont;pont;m693,
m690;0;Beck index alapján történõ értékelés;nem értékelhetõ;pont;m693,
m691;-1000;Beck index alapján történõ értékelés;normál állapot;pont;m694,
m691;0;Beck index alapján történõ értékelés;enyhe depresszió;pont;m694,
m692;0;Beck index alapján történõ értékelés;közepes depresszió;pont;
m692;1;Beck index alapján történõ értékelés;súlyos depresszió;pont;
m692;2;Van/volt-e szívbetegsége?;Nem;NULL;
m693;-1000;Van/volt-e szívbetegsége?;Igen;NULL;
m693;0;Van/volt-e szívbetegsége?;Nincs válasz;NULL;
m694;-1000;Van-e diagnosztizált szív-érrendszeri betegsége?;nincs;NULL;
m694;0;Van-e diagnosztizált szív-érrendszeri betegsége?;van;NULL;
m709;0;Van-e diagnosztizált szív-érrendszeri betegsége?;nem ismert;NULL;
m709;1;SOTE hallgató?;nem SOTE hallgató;NULL;
m709;2;SOTE hallgató?;SOTE hallgató;NULL;
m710;0;SOTE hallgatói részvételi minõség;nem kiértékelhetõ;NULL;
m710;1;SOTE hallgatói részvételi minõség;kérdõívet töltött csak;NULL;
m710;2;SOTE hallgatói részvételi minõség;kérdõívet töltött és egészségügyi mérések is vannak;NULL;
m711;0;SOTE hallgatói részvételi minõség;egyéb;NULL;
m711;1;Beck értékelés összpontszám alapján;nem értékelhetõ;NULL;
m711;2;Beck értékelés összpontszám alapján;normál;NULL;
m714;0;Beck értékelés összpontszám alapján;enyhe;NULL;
m714;1;Beck értékelés összpontszám alapján;középsúlyos;NULL;
m718;-1;Beck értékelés összpontszám alapján;súlyos;NULL;
m718;0;Syst-Diast különbség;különbség;Hgmm;
m718;1;Cyl eltérés (Cyljobb-CylBal);nem értelmezhetõ;NULL;
m718;2;Cyl eltérés (Cyljobb-CylBal);eltérés;NULL;
m719;-1;SPH eltérés (SPHjobb-SPHbal);nem értelmezhetõ;NULL;
m719;0;SPH eltérés (SPHjobb-SPHbal);eltérés;NULL;
m719;1;Szemüveges?;nem;NULL;
m719;2;Szemüveges?;igen;NULL;
m719;3;Szemüveges?;nem ismert;NULL;
m719;4;Cylinder eltérések besorolásai;nem számolható;NULL;
m719;5;Cylinder eltérések besorolásai;0;NULL;
m719;6;SPH eltérések besorolásai;nem számolható;NULL;
m719;7;SPH eltérések besorolásai;0;NULL;
m719;8;Testsúly számított célérték;NULL;NULL;
m719;9;Haskörfogat számított célérték;NULL;NULL;
m719;10;Syst.vérnyomás számított célérték;NULL;NULL;
m723;1;Disat. vérnyomás számított célérték;NULL;NULL;
m723;2;Összkoleszterinszint számított célérték;NULL;NULL;
m724;-1;HDL kol. számított célérték;NULL;NULL;m739,m740,
m724;0;Triglicerid számított célérték;NULL;NULL;m739,m740,
m724;1;Cukorszint számított célértéke;NULL;NULL;m739,m740,
m724;2;Dohányzás célértéke;nem;NULL;m739,m740,
m724;3;Dohányzás célértéke;igen;NULL;m739,m740,
m725;-1;Dohányzás célértéke;nem ismert;NULL;m739,m740,
m725;0;napi 30 perc mozgás célértéke;nem;NULL;m739,m740,
m725;1;napi 30 perc mozgás célértéke;igen;NULL;m739,m740,
m725;2;napi 30 perc mozgás célértéke;nem ismert;NULL;m739,m740,
m725;3;Rendszeres zöldség, gyümölcs fogyasztás célértéke;nem;NULL;m739,m740,
m726;-1;Rendszeres zöldség, gyümölcs fogyasztás célértéke;igen;NULL;m739,m740,
m726;0;Rendszeres zöldség, gyümölcs fogyasztás célértéke;nem ismert;NULL;m739,m740,
m726;1;Hemoglobin A1c célértéke;NULL;%;m739,m740,
m726;2;Teljes adatbevitel ellenõrzése;nem megfelelõ;NULL;m739,m740,
m726;3;Teljes adatbevitel ellenõrzése;rendben;NULL;m739,m740,
m727;-1;Intézményi ellátás esetén intézmény neve;NULL;NULL;m739,m740,
m727;0;Orvosi ellátás esetén orvos azonosítás (pecsétszám, név);NULL;NULL;m739,m740,
m727;1;Iskolai hiányzás;NULL;NULL;m739,m740,
m727;2;Asztma kontroláltsági szintje;nem besorolható;NULL;m739,m740,
m727;3;Asztma kontroláltsági szintje;kontrollált;NULL;m739,m740,
m728;0;Asztma kontroláltsági szintje;részlegesen kontrollált;NULL;m741,m742,
m729;0;Asztma kontroláltsági szintje;nem kontrollált;NULL;m741,m742,
m730;0;Etnikum (spirométerhez);nem ismert;NULL;m741,m742,
m731;0;Etnikum (spirométerhez);Kaukázusi;NULL;m736,m738,
m732;0;Etnikum (spirométerhez);Keleti;NULL;m736,m738,
m733;0;Etnikum (spirométerhez);Kínai;NULL;m736,m738,
m734;-1;Etnikum (spirométerhez);Japán;NULL;m736,m738,
m734;0;Etnikum (spirométerhez);Polinéz;NULL;m736,m738,
m734;1;Etnikum (spirométerhez);Észak-indiai;NULL;m736,m738,
m735;0;Etnikum (spirométerhez);Dél-indiai;NULL;m736,m738,
m736;0;Etnikum (spirométerhez);Pakisztáni;NULL;m738,
m736;1;Etnikum (spirométerhez);Afrikai;NULL;m738,
m736;2;Etnikum (spirométerhez);Afroamerikai;NULL;m738,
m736;3;Etnikum (spirométerhez);Mexikói-amerikai;NULL;m738,
m738;-1;Beavatkozások;NULL;NULL;
m738;0;Allergia diagnosztizálása/kezdete;NULL;NULL;
m738;1;Allergia megszûntének dátuma;NULL;NULL;
m738;2;Napi pulmonológiai állapotjellemzõk;riasztás;NULL;
m739;0;Napi pulmonológiai állapotjellemzõk;nincs riasztás;NULL;m740,
m740;0;Milyen ma az asztmád?;nincs adat;NULL;
m740;1;Milyen ma az asztmád?;nagyon rossz;NULL;
m740;2;Milyen ma az asztmád?;rossz;NULL;
m741;0;Milyen ma az asztmád?;jó;NULL;m742,
m742;0;Milyen ma az asztmád?;nagyon jó;NULL;
m742;1;Mennyire okoz gondot az asztmád, mikor futsz, tornázol vagy sportolsz?;nincs adat;NULL;
m742;2;Mennyire okoz gondot az asztmád, mikor futsz, tornázol vagy sportolsz?;nagy gondot okoz, nem tudom azt csinálni, amit szeretnék;NULL;
m743;0;Mennyire okoz gondot az asztmád, mikor futsz, tornázol vagy sportolsz?;gondot okoz és ez zavar;NULL;
m743;1;Mennyire okoz gondot az asztmád, mikor futsz, tornázol vagy sportolsz?;egy kis gondot okoz, de rendben van;NULL;
m743;2;Mennyire okoz gondot az asztmád, mikor futsz, tornázol vagy sportolsz?;nem okoz gondot;NULL;
m745;0;Köhögsz az asztmád miatt?;nincs adat;NULL;
m745;1;Köhögsz az asztmád miatt?;igen, állandóan;NULL;
m745;2;Köhögsz az asztmád miatt?;igen, sokszor;NULL;
m747;0;Köhögsz az asztmád miatt?;igen, néha;NULL;
m747;1;Köhögsz az asztmád miatt?;nem sosem;NULL;
m747;2;Felébredsz éjszaka az asztmád miatt?;nincs adat;NULL;
m749;0;Felébredsz éjszaka az asztmád miatt?;igen, állandóan;NULL;
m749;1;Felébredsz éjszaka az asztmád miatt?;igen, sokszor;NULL;
m749;2;Felébredsz éjszaka az asztmád miatt?;igen, néha;NULL;
m750;-1;Felébredsz éjszaka az asztmád miatt?;nem sosem;NULL;m758,m759,
m750;0;Az elmúlt négy hét alatt hány nap volt gyermekének napközben bármilyen asztmatünete?;darabszám;NULL;m758,m759,
m750;1;Az elmúlt négy hét alatt hány nap tapasztalt napközben asztmás sípolást?;darabszám;NULL;m758,m759,
m750;2;Az elmúlt négy hét alatt hány nap ébredt fel gyermeke az asztma miatt?;darabszám;NULL;m758,m759,
m750;3;Pulmonológia vonatkozású nappali tünetek száma az elmúlt héten;darabszám;db;m758,m759,
m750;4;Pulmonológia vonatkozású éjszakai tünetek száma az elmúlt héten;darabszám;db;m758,m759,
m750;5;rohamoldó szükséglet darabszáma  az elmúlt héten;darabszám;db;m758,m759,
m751;-1;légzésfunkció normális volt az elmúlt héten;nincs adat;NULL;m758,m759,
m751;0;légzésfunkció normális volt az elmúlt héten;nem normális;NULL;m758,m759,
m751;1;légzésfunkció normális volt az elmúlt héten;normális;NULL;m758,m759,
m751;2;Exacerbáció száma az elmúlt évben;darabszám;db;m758,m759,
m751;3;Az asztma kontroll szintjei, a kontroláltság foka;nem számolható;NULL;m758,m759,
m751;4;Az asztma kontroll szintjei, a kontroláltság foka;Nem kontrollált;NULL;m758,m759,
m751;5;Az asztma kontroll szintjei, a kontroláltság foka;részlegesen kontrollált;NULL;m758,m759,
m752;-1;Az asztma kontroll szintjei, a kontroláltság foka;Kontrollált;NULL;m758,m759,
m752;0;PIF (belégzési csúcsáramlás);NULL;l/sec;m758,m759,
m752;1;Kontroláltsági kategória változás;nem kiértékelhetõ;NULL;m758,m759,
m752;2;Kontroláltsági kategória változás;kategória romlik;NULL;m758,m759,
m752;3;Kontroláltsági kategória változás;kategoria nem változott;NULL;m758,m759,
m752;4;Kontroláltsági kategória változás;kategoria javult;NULL;m758,m759,
m752;5;Gyermek asztma kontrol teszt összpontszám;pontszám;pont;m758,m759,
m753;-1;Gyermek asztma kontrol teszt összpontszám besorolás;nem besorolható;NULL;m758,m759,
m753;0;Gyermek asztma kontrol teszt összpontszám besorolás;egyik kat.;NULL;m758,m759,
m753;1;Gyermek asztma kontrol teszt összpontszám besorolás;másik kat.;NULL;m758,m759,
m753;2;Szülõ asztma kontrol teszt összpontszám;pontszám;pont;m758,m759,
m753;3;Szülõ asztma kontrol teszt összpontszám besorolás;nem besorolható;NULL;m758,m759,
m753;4;Szülõ asztma kontrol teszt összpontszám besorolás;egyik kat.;NULL;m758,m759,
m753;5;Szülõ asztma kontrol teszt összpontszám besorolás;másik kat.;NULL;m758,m759,
m754;-1;Passzív dohányzó?;nem;NULL;m758,m759,
m754;0;Passzív dohányzó?;igen;NULL;m758,m759,
m754;1;Passzív dohányzó?;nincs adat;NULL;m758,m759,
m754;2;Aritmia-Pitvarfibrilláció;NULL;NULL;m758,m759,
m754;3;Aritmia-Pitvarfibrilláció megfelel?sége;eltér? érték;NULL;m758,m759,
m754;4;Aritmia-Pitvarfibrilláció megfelel?sége;megfelel? érték;NULL;m758,m759,
m754;5;Aritmia-Pitvarfibrilláció megfelel?sége;Nincs megadva;NULL;m758,m759,
m755;-1;Kamrai fibrilláció-Tachycardia;NULL;NULL;m758,m759,
m755;0;Kamrai fibrilláció-Tachycardia megfelel?sége;eltér? érték;NULL;m758,m759,
m755;1;Kamrai fibrilláció-Tachycardia megfelel?sége;megfelel? érték;NULL;m758,m759,
m755;2;Kamrai fibrilláció-Tachycardia megfelel?sége;Nincs megadva;NULL;m758,m759,
m755;3;Prosztata betegségek kockázati teszt pontszám;NULL;NULL;m758,m759,
m755;4;Prosztata betegségek kockázati teszt megfelel?sége;eltér? érték;NULL;m758,m759,
m755;5;Prosztata betegségek kockázati teszt megfelel?sége;megfelel? érték;NULL;m758,m759,
m756;-1;Prosztata betegségek kockázati teszt megfelel?sége;Nincs megadva;NULL;m758,m759,
m756;0;Milyen gyakran érzi úgy, hogy nem sikerül teljesen kiürítenie a hólyagját a vizelés során?;Nincs megadva;NULL;m758,m759,
m756;1;Milyen gyakran érzi úgy, hogy nem sikerül teljesen kiürítenie a hólyagját a vizelés során?;Soha;NULL;m758,m759,
m756;2;Milyen gyakran érzi úgy, hogy nem sikerül teljesen kiürítenie a hólyagját a vizelés során?;Ritkán;NULL;m758,m759,
m756;3;Milyen gyakran érzi úgy, hogy nem sikerül teljesen kiürítenie a hólyagját a vizelés során?;Alkalmanként;NULL;m758,m759,
m756;4;Milyen gyakran érzi úgy, hogy nem sikerül teljesen kiürítenie a hólyagját a vizelés során?;Az esetek felében;NULL;m758,m759,
m756;5;Milyen gyakran érzi úgy, hogy nem sikerül teljesen kiürítenie a hólyagját a vizelés során?;Gyakran, sokszor;NULL;m758,m759,
m758;-1;Milyen gyakran érzi úgy, hogy nem sikerül teljesen kiürítenie a hólyagját a vizelés során?;Mindig;NULL;m759,
